"","Districte","Secció","Renda_neta_mitja_PERSONA","Renda_neta_mitja_HABITATGE","Censo","Votants","Vots","Participació","ARA PL","% ARA PL","Vots Junts","% Junts","Vots Cs","% Cs","Vots CUP","% CUP","Vots ERC","% ERC","Vots PACMA","% PACMA","Vots PCTC","% PCTC","Vots PFIV","% PFIV","Vots PP","% PP","Vots PSC","% PSC","Vots Comuns","% Comuns","Vots TxT","% TxT","Vots Valents","% Valents","Vots VOX","% VOX","Renda_persona"
"108",5,31,13.66,65.549,585,299,297,"51.11%",1,"0.33%",4,"1.35%",11,"3.70%",16,"5.39%",5,"1.68%",2,"0.67%",1,"0.34%",0,"0.00%",26,"8.75%",85,"28.62%",27,"9.09%",74,"24.92%",2,"0.67%",39,"13.13%",13660
"109",5,32,14.625,35.81,948,533,527,"56.22%",1,"0.19%",19,"3.61%",10,"1.90%",15,"2.85%",34,"6.45%",8,"1.52%",5,"0.95%",6,"1.14%",52,"9.87%",125,"23.72%",30,"5.69%",170,"32.26%",3,"0.57%",43,"8.16%",14625
"110",6,1,12.96,35.045,886,463,462,"52.26%",0,"0.00%",14,"3.03%",10,"2.16%",10,"2.16%",19,"4.11%",4,"0.87%",1,"0.22%",1,"0.22%",30,"6.49%",163,"35.28%",14,"3.03%",132,"28.57%",0,"0.00%",56,"12.12%",12960
"111",6,2,12.24,33.226,1219,580,576,"47.58%",0,"0.00%",17,"2.95%",8,"1.39%",14,"2.43%",29,"5.03%",18,"3.13%",2,"0.35%",0,"0.00%",36,"6.25%",147,"25.52%",33,"5.73%",174,"30.21%",3,"0.52%",90,"15.63%",12240
"112",6,3,11.751,31.089,1483,731,722,"49.29%",1,"0.14%",17,"2.35%",12,"1.66%",11,"1.52%",34,"4.71%",9,"1.25%",0,"0.00%",0,"0.00%",73,"10.11%",192,"26.59%",42,"5.82%",220,"30.47%",0,"0.00%",101,"13.99%",11751
"113",6,4,10.162,29.944,885,374,370,"42.26%",0,"0.00%",8,"2.16%",9,"2.43%",15,"4.05%",15,"4.05%",5,"1.35%",2,"0.54%",0,"0.00%",31,"8.38%",108,"29.19%",16,"4.32%",94,"25.41%",1,"0.27%",58,"15.68%",10162
"114",6,5,12.631,31.899,1131,531,526,"46.95%",0,"0.00%",13,"2.47%",12,"2.28%",23,"4.37%",26,"4.94%",11,"2.09%",1,"0.19%",0,"0.00%",38,"7.22%",123,"23.38%",23,"4.37%",177,"33.65%",3,"0.57%",71,"13.50%",12631
"115",6,6,14.128,36.571,1202,556,551,"46.26%",0,"0.00%",5,"0.91%",12,"2.18%",10,"1.81%",31,"5.63%",11,"2.00%",2,"0.36%",0,"0.00%",41,"7.44%",123,"22.32%",17,"3.09%",180,"32.67%",1,"0.18%",114,"20.69%",14128
"116",6,8,14.556,34.386,1697,826,814,"48.67%",0,"0.00%",62,"7.62%",18,"2.21%",34,"4.18%",81,"9.95%",19,"2.33%",1,"0.12%",2,"0.25%",38,"4.67%",168,"20.64%",37,"4.55%",255,"31.33%",4,"0.49%",88,"10.81%",14556
"117",6,9,12.751,34.156,905,445,442,"49.17%",0,"0.00%",18,"4.07%",14,"3.17%",6,"1.36%",34,"7.69%",8,"1.81%",0,"0.00%",3,"0.68%",29,"6.56%",100,"22.62%",26,"5.88%",142,"32.13%",1,"0.23%",57,"12.90%",12751
